iter	Passed	Remaining
0	52	26398
1	118	29387
2	183	30357
3	257	31959
4	318	31490
5	387	31887
6	444	31290
7	503	30980
8	555	30303
9	615	30149
10	674	29985
11	734	29853
12	789	29578
13	859	29846
14	915	29588
15	972	29431
16	1033	29357
17	1094	29317
18	1151	29139
19	1207	28989
20	1261	28764
21	1318	28653
22	1387	28781
23	1444	28644
24	1500	28507
25	1559	28430
26	1616	28314
27	1677	28270
28	1734	28167
29	1790	28048
30	1852	28033
31	1909	27920
32	1964	27795
33	2029	27822
34	2096	27851
35	2151	27736
36	2206	27614
37	2260	27478
38	2316	27379
39	2378	27349
40	2435	27266
41	2497	27235
42	2554	27154
43	2618	27134
44	2676	27057
45	2730	26944
46	2784	26838
47	2843	26777
48	2906	26750
49	2961	26653
50	3017	26566
51	3071	26459
52	3133	26427
53	3196	26403
54	3249	26294
55	3307	26220
56	3364	26149
57	3431	26152
58	3489	26079
59	3547	26014
60	3603	25930
61	3656	25832
62	3719	25801
63	3778	25743
64	3839	25697
65	3897	25631
66	3964	25622
67	4024	25566
68	4078	25474
69	4138	25423
70	4196	25356
71	4255	25295
72	4316	25250
73	4367	25143
74	4430	25103
75	4484	25018
76	4537	24925
77	4596	24868
78	4651	24790
79	4703	24692
80	4759	24622
81	4816	24551
82	4869	24465
83	4934	24439
84	4993	24378
85	5052	24323
86	5117	24294
87	5172	24215
88	5231	24160
89	5289	24095
90	5341	24009
91	5404	23966
92	5465	23918
93	5523	23856
94	5574	23765
95	5641	23740
96	5696	23666
97	5752	23596
98	5807	23522
99	5859	23436
100	5918	23381
101	5973	23307
102	6034	23257
103	6091	23194
104	6151	23142
105	6210	23085
106	6264	23008
107	6320	22942
108	6379	22883
109	6440	22833
110	6493	22758
111	6544	22672
112	6604	22618
113	6668	22580
114	6719	22495
115	6770	22411
116	6817	22318
117	6867	22230
118	6918	22150
119	6974	22086
120	7031	22024
121	7083	21947
122	7137	21877
123	7186	21791
124	7233	21699
125	7285	21624
126	7334	21540
127	7386	21467
128	7443	21407
129	7494	21330
130	7546	21257
131	7597	21181
132	7670	21165
133	7749	21167
134	7817	21135
135	7882	21096
136	7953	21072
137	8027	21056
138	8096	21027
139	8177	21027
140	8245	20994
141	8315	20964
142	8379	20920
143	8642	21365
144	8729	21372
145	8784	21299
146	8842	21232
147	8901	21171
148	8959	21104
149	9017	21041
150	9074	20974
151	9128	20900
152	9187	20837
153	9237	20755
154	9291	20681
155	9345	20608
156	9400	20536
157	9460	20478
158	9514	20405
159	9574	20346
160	9627	20271
161	9680	20196
162	9735	20127
163	9792	20061
164	9852	20004
165	9913	19945
166	9973	19887
167	10038	19837
168	10095	19773
169	10150	19703
170	10196	19618
171	10248	19544
172	10296	19461
173	10344	19381
174	10406	19325
175	10456	19250
176	10502	19165
177	10550	19086
178	10598	19006
179	10648	18930
180	10702	18863
181	10752	18787
182	10804	18716
183	10851	18636
184	10907	18572
185	10958	18500
186	11008	18426
187	11059	18354
188	11112	18286
189	11162	18211
